,GPStime,peakFreq,snr,amplitude,centralFreq,duration,bandwidth,chisq,chisqDof,confidence,id,ifo,label,imgUrl,Q-value
146979,1238727310,38.027,3564.764,3.08e-20,3977.241,6.0,7946.48291,0,0,0.909,UIRuzBWsWJ,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/IlWiaNncuU/UIRuzBWsWJ.png,5.657
53527,1250505583,142.363,583.077,2.2899999999999997e-21,3406.167,4.0,6792.334961,0,0,1.0,kK3VJVzfmH,H1,Extremely_Loud,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/o9uDEaaS1T/kK3VJVzfmH.png,5.657
2026,1239818983,137.711,1964.566,7.98e-21,3877.68,7.25,7740.13623,0,0,1.0,1M8PM1vwnk,H1,Extremely_Loud,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/5wPzXAWHkR/1M8PM1vwnk.png,5.657
151105,1252853665,39.789,309.683,2.68e-21,1019.543,2.75,2014.350952,0,0,0.892,JWCIDcvKmS,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/lW3WzJ5vCh/JWCIDcvKmS.png,5.657
28072,1249592093,39.789,1525.606,1.3000000000000001e-20,3980.241,6.25,7940.48291,0,0,1.0,FvQqslYlh8,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gXjKUnnN9x/FvQqslYlh8.png,11.314
85036,1251689919,32.173,170.06099999999998,1.9300000000000003e-21,3981.425,3.75,7938.115723000001,0,0,0.997,fNBo5rcNMx,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zCXwWELHz2/fNBo5rcNMx.png,5.657
80118,1246972389,142.363,237.13299999999998,9.34e-22,1557.559,2.5610000000000004,3084.527832,0,0,0.998,0zhyuUdjsX,H1,Extremely_Loud,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/0SmoyAeZLC/0zhyuUdjsX.png,5.657
158496,1240604396,89.676,1164.723,5.5000000000000005e-21,3389.538,3.75,6760.209961,0,0,0.8540000000000001,tlkPQKZPfA,H1,Extremely_Loud,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/p7ZBBQFZZH/tlkPQKZPfA.png,5.657
934,1241710215,115.113,3698.039,1.5200000000000002e-20,3980.241,6.813,7940.48291,0,0,1.0,xZcPNIG60h,H1,Extremely_Loud,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/BQzt4ubJkY/xZcPNIG60h.png,11.314
26334,1250063018,26.015,390.281,7.159999999999999e-21,2961.093,3.75,5902.186035,0,0,1.0,5vMqPuJpnr,L1,Extremely_Loud,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hEnauFNgTG/5vMqPuJpnr.png,11.314
202489,1243825845,145.556,11.402999999999999,4.129999999999999e-23,3847.244,3.313,7527.091309,0,0,0.47700000000000004,nviFgUQuA5,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/G58VqAMMVM/nviFgUQuA5.png,45.255
8385,1246920902,260.813,10.46,3.49e-23,3975.2529999999997,1.8130000000000002,7800.963867,0,0,1.0,o5o85lPzBT,L1,Scratchy,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/seq2MIjwaH/o5o85lPzBT.png,11.314
197076,1243641658,97.88799999999999,9.743,4.9100000000000004e-23,3159.3309999999997,0.813,6183.306152,0,0,0.541,glN5F6PTRR,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/X7YH8jGvUl/glN5F6PTRR.png,45.255
139305,1246922663,78.628,7.862,4.7700000000000004e-23,3970.998,1.0,7809.474120999999,0,0,0.9359999999999999,9BWKALF3jn,L1,Scratchy,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wTGAUc5sUO/9BWKALF3jn.png,22.627
118076,1241110182,83.366,13.376,6.49e-23,99.116,1.5630000000000002,88.784286,0,0,0.978,noaFlwyi9q,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/bt0OI9Tisr/noaFlwyi9q.png,45.255
130030,1240608399,122.15899999999999,13.168,5.75e-23,122.365,0.875,28.676701,0,0,0.9590000000000001,9zrwDGd8ID,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/p7ZBBQFZZH/9zrwDGd8ID.png,45.255
207451,1248983964,60.857,7.752999999999999,4.63e-23,3363.1279999999997,0.449,6688.425781,0,0,0.195,YPC9FC8a97,L1,Scratchy,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/1XjoLlHtg5/YPC9FC8a97.png,5.657
102676,1244956401,779.059,14.65,9.28e-23,3979.717,0.503,7792.036620999999,0,0,0.991,Nj00sHpjQO,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/k1PsWLV4iy/Nj00sHpjQO.png,5.657
199578,1244869130,96.96700000000001,7.521,3.46e-23,2868.237,0.43799999999999994,5569.076172,0,0,0.515,pCYOvuHpun,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/xFq6S91XVv/pCYOvuHpun.png,11.314
199769,1243857658,96.96700000000001,11.437000000000001,8.13e-23,1276.7839999999999,3.75,2385.709229,0,0,0.513,pbdBhVUCEA,H1,Scratchy,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/GFdEEhvuSH/pbdBhVUCEA.png,45.255
63224,1242580122,60.785,8.785,5.689999999999999e-23,101.28399999999999,0.5,114.06996200000002,0,0,0.9990000000000001,I8Vv3bQFQl,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ahzsN94U6Q/I8Vv3bQFQl.png,22.627
36004,1240217325,55.718999999999994,7.531000000000001,3.6299999999999993e-23,3723.3940000000002,0.6559999999999999,7337.128906,0,0,1.0,IUjhv5Ey8c,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/FvPes0o7rI/IUjhv5Ey8c.png,45.255
21105,1239839953,70.623,11.512,4.82e-23,3890.263,0.494,7675.610352,0,0,1.0,ynE42tdZjw,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/V52DpgjU3C/ynE42tdZjw.png,45.255
39264,1240046108,70.623,9.687000000000001,3.89e-23,3978.902,4.0,7943.162109000001,0,0,1.0,PSEXZ1XHjF,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/nlqO8EGRch/PSEXZ1XHjF.png,22.627
32467,1240203905,70.623,10.780999999999999,4.21e-23,1178.955,0.5,2252.993896,0,0,1.0,R1xkFddVE5,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ARkkwWgdG5/R1xkFddVE5.png,22.627
204904,1240723968,80.275,11.932,6.38e-23,3936.4509999999996,3.5,7730.479492,0,0,0.424,ngo5o7Wuo1,H1,Power_Line,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/9hA63eM4qu/ngo5o7Wuo1.png,45.255
119072,1246830661,53.948,10.852,8.37e-23,3980.241,8.625,7940.48291,0,0,0.976,Y0WuDrOo8L,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PPGMYXKhYj/Y0WuDrOo8L.png,45.255
25991,1240083068,70.623,13.469000000000001,5.41e-23,2185.931,0.375,4266.945801,0,0,1.0,AJg7FanDnZ,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/encxAYYKQO/AJg7FanDnZ.png,22.627
26263,1239987490,70.623,9.133,4.129999999999999e-23,3848.827,1.141,7612.989745999999,0,0,1.0,RlU3w61rOc,L1,Power_Line,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vQ3sxjP4Qh/RlU3w61rOc.png,45.255
132838,1240728385,70.331,10.09,5.97e-23,71.354,1.875,9.02486,0,0,0.953,3s2hY4rUwz,H1,Power_Line,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/9hA63eM4qu/3s2hY4rUwz.png,45.255
8608,1250015581,29.948,10.245,1.35e-22,944.17,1.5,1850.5096440000002,0,0,1.0,oYOjBLR4Zi,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/4dLyXv3bKh/oYOjBLR4Zi.png,45.255
9257,1243261512,26.433000000000003,9.541,2.3e-22,3984.699,1.382,7931.567383,0,0,1.0,AuOj2K5eyP,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3sHR62lVsA/AuOj2K5eyP.png,45.255
163141,1240849214,34.59,9.52,1.1e-22,3986.938,1.251,7927.089844,0,0,0.826,wF0jVxkmSc,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/IAVixKr0RQ/wF0jVxkmSc.png,11.314
13187,1253423626,30.629,9.456,2.37e-22,853.947,2.0,1670.063721,0,0,1.0,T2t750rn3X,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/396BxE6kvB/T2t750rn3X.png,45.255
181029,1243285477,36.625,11.205,1.08e-22,3949.5640000000003,1.297,7852.342285,0,0,0.6829999999999999,yk4QZ1MTU8,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pba2m66CbT/yk4QZ1MTU8.png,11.314
19336,1247455185,26.085,9.148,3.5e-22,915.326,1.75,1784.90918,0,0,1.0,jvHN3K9BmF,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/xWQdw7W2vG/jvHN3K9BmF.png,45.255
198023,1253279736,39.02,10.623,1.06e-22,55.621,1.0,56.154591,0,0,0.531,nXsGzBOuHZ,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zAsZ3CBNUe/nXsGzBOuHZ.png,11.314
114110,1239452231,25.268,7.778,1.81e-22,2770.775,1.138,5505.647461,0,0,0.982,OR7J6DS8XZ,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/N4lrrWGgup/OR7J6DS8XZ.png,11.314
6547,1253658182,27.886,13.02,4.23e-22,2398.965,1.75,4762.567871,0,0,1.0,zdHzbS4Kai,H1,Scattered_Light,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/QHVWkvaHfs/zdHzbS4Kai.png,45.255
168864,1243422894,27.308000000000003,9.974,2.09e-22,31.581999999999997,1.25,25.333481,0,0,0.785,mQJCvDy4CJ,L1,Scattered_Light,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/bGxxzPmSxE/mQJCvDy4CJ.png,11.314
107395,1245216012,176.063,42.815,1.39e-22,3763.8509999999997,1.5,7497.112305,0,0,0.988,XhnxASXIWF,L1,Koi_Fish,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pCn4zKUrlx/XhnxASXIWF.png,5.657
88935,1243775439,115.113,147.536,5.96e-22,1262.7,1.75,2487.56958,0,0,0.996,NHrbsrBdKM,H1,Koi_Fish,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/G58VqAMMVM/NHrbsrBdKM.png,5.657
3383,1252871564,93.079,102.619,4.49e-22,442.64599999999996,1.25,847.460632,0,0,1.0,jEwTu5CoXM,H1,Koi_Fish,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/396BxE6kvB/jEwTu5CoXM.png,5.657
113979,1241108679,32.173,20.358,2.2299999999999996e-22,3581.752,1.26,7132.915039,0,0,0.982,RD3HNF0GNO,L1,Koi_Fish,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ksRFO7vp0S/RD3HNF0GNO.png,5.657
50302,1246473916,142.363,165.165,6.3e-22,1010.4110000000001,2.5,1982.991089,0,0,1.0,qgaIQMecsJ,H1,Koi_Fish,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/fJGGrGM5ns/qgaIQMecsJ.png,5.657
75039,1246921581,75.263,96.805,5.21e-22,574.547,1.875,1111.262329,0,0,0.998,2AbCNvYH6u,H1,Koi_Fish,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/0SmoyAeZLC/2AbCNvYH6u.png,5.657
143296,1253639136,39.789,51.681999999999995,4.789999999999999e-22,3762.387,2.0,7500.040039,0,0,0.9229999999999999,0tbxFMFgTs,L1,Koi_Fish,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YWAiQHqBf4/0tbxFMFgTs.png,5.657
185938,1252345361,75.263,267.402,1.3300000000000001e-21,541.36,2.25,1060.2109380000002,0,0,0.636,gp977mrBJj,H1,Koi_Fish,https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/zPoNVTnz99/gp977mrBJj.png,5.657
81065,1246709727,39.789,78.851,6.21e-22,356.455,1.75,688.175659,0,0,0.998,05loMm0SpA,L1,Koi_Fish,https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/tycOaij6Lh/05loMm0SpA.png,5.657
